combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
1,100,2.25,1.25,True,True,10,current,,25.0,6.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,5.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,7.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,9.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,10.0,117749.99929644167,2.651439779890492,-12955.000366792083,61.14206128133704,163.99721350479342,22.647427854454204,3188,402,718,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,12.0,116649.99924428761,2.5970816017814244,-14055.000418946147,61.14206128133704,162.4651800059716,22.647427854454204,3188,402,718,,,,,,,
14,800,2.25,1.25,True,True,10,current,,25.0,5.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
15,800,2.25,1.25,True,True,10,current,,25.0,6.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
16,800,2.25,1.25,True,True,10,current,,25.0,7.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
17,800,2.25,1.25,True,True,10,current,,25.0,8.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
18,800,2.25,1.25,True,True,10,current,,25.0,9.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
19,800,2.25,1.25,True,True,10,current,,25.0,10.0,172185.00014990568,2.3480984325787935,-31194.99949030578,72.28412256267409,239.81197792465971,14.22521957340025,3188,402,718,,,,,,,
20,800,2.25,1.25,True,True,10,current,,25.0,12.0,171085.00009775162,2.3232237095655757,-32294.999542459846,72.28412256267409,238.2799444258379,14.22521957340025,3188,402,718,,,,,,,
7,500,2.25,1.25,True,True,10,current,,25.0,5.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
8,500,2.25,1.25,True,True,10,current,,25.0,6.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
9,500,2.25,1.25,True,True,10,current,,25.0,7.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
10,500,2.25,1.25,True,True,10,current,,25.0,8.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
11,500,2.25,1.25,True,True,10,current,,25.0,9.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
12,500,2.25,1.25,True,True,10,current,,25.0,10.0,125645.0000551343,1.9436383665655532,-26820.00007979572,66.57381615598887,174.99303628848787,16.593475533249684,3188,402,718,,,,,,,
13,500,2.25,1.25,True,True,10,current,,25.0,12.0,124545.00000298023,1.9162234700459573,-27920.000131949782,66.57381615598887,173.46100278966605,16.593475533249684,3188,402,718,,,,,,,
