combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
29,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,0.5,141775.0000565499,3.441170503559161,-7690.00010676682,68.91385767790263,176.99750319169777,15.688671556642216,3681,1926,801,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,0.5,152774.99938994646,3.414249103677125,-8124.9998988211155,66.29213483146067,190.73033631703677,20.02173322466721,3681,1926,801,,,,,,,
28,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,0.4,134355.00002667308,3.36388816900177,-7500.000117495656,68.66416978776529,167.73408243030346,15.917241379310346,3625,1982,801,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,,165029.9993877858,3.348599445559162,-11620.000382959843,66.16729088639201,206.0299617825041,19.81885988279169,3754,1853,801,,,,,,,
30,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,,157099.99985650182,3.347647916896106,-7000.000020340085,67.66541822721598,196.1298375237226,16.54235482152371,3754,1853,801,,,,,,,
34,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,0.4,137384.99981701374,3.3446968929310033,-6595.000084266067,67.5776397515528,170.6645960459798,16.882045642012645,3637,1998,805,,,,,,,
24,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,,154030.00005438924,3.3437241144965455,-7905.0000535696745,68.78901373283396,192.2971286571651,15.570058604155568,3754,1853,801,,,,,,,
35,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,0.5,142639.99977059662,3.3407240199450916,-6785.0000735372305,67.82608695652173,177.1925462988778,16.662154845695724,3694,1941,805,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,0.4,145354.99936006963,3.3335986424389112,-8124.9998988211155,66.04244694132333,181.4669155556425,20.317241379310342,3625,1982,801,,,,,,,
23,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,0.5,136085.00005595386,3.3143650950774575,-7995.000086054206,70.4119850187266,169.89388271654664,14.602010323281716,3681,1926,801,,,,,,,
