combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
233,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,177746.99962195754,1.9866335103022725,-19550.00098094344,71.91854233654877,190.5112536141024,11.455621301775148,4225,2306,933,,,,,,,
185,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,0.6,,,,,,174620.99962329865,1.960233459552261,-19550.00098094344,71.875,188.16918062855459,11.445497630331754,4220,2276,928,,,,,,,
89,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,0.6,,,,,,174464.99955549836,1.958157892260726,-19500.00098347664,71.89189189189189,188.6108103302685,11.345926800472254,4235,2240,925,,,,,,,
230,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.3,,,,,,161541.99961048365,1.9575427897852067,-17080.00157535076,72.85407725321889,173.3283257623215,10.026072529035316,4219,2305,932,,,,,,,
251,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.25,open,150,0,,,0.6,,,,,,178261.99970570207,1.956937038071912,-19435.001013055444,71.59699892818864,191.06323655487896,11.448324349660183,4267,2264,933,,,,,,,
239,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.75,open,150,0,,,0.6,,,,,,174935.999589473,1.954827400874742,-19805.000983327627,71.81136120042872,187.4983918429507,11.47638262520769,4213,2318,933,,,,,,,
227,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.5,open,150,0,,,0.6,,,,,,175856.99960295856,1.952204444308564,-19335.000970214605,71.67381974248927,188.68776781433323,11.469407039924404,4233,2291,932,,,,,,,
281,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.6,open,150,0,,,0.6,,,,,,174790.99966174364,1.9499398901167955,-19610.000979676843,71.84154175588866,187.14239792477906,11.528436018957345,4220,2318,934,,,,,,,
137,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.6,open,150,0,,,0.6,,,,,,173976.99957427382,1.9493477727853812,-19500.00098347664,71.875,187.47521505848474,11.450471698113207,4240,2256,928,,,,,,,
86,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,0.3,,,,,,160271.99952197075,1.9489363700246138,-17035.00157237053,73.08108108108108,173.26702651023865,9.955125177137457,4234,2241,925,,,,,,,
221,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.4,open,150,0,,,0.6,,,,,,175971.9996652454,1.9485539434573163,-19090.00096425414,71.56652360515021,188.81115843910453,11.463242224316682,4244,2280,932,,,,,,,
41,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.6,open,150,0,,,0.6,,,,,,174237.9995651096,1.9483455190084824,-21323.00098131597,71.89189189189189,188.36540493525362,11.286919831223628,4266,2209,925,,,,,,,
228,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,,,,,,,186090.99921754003,1.9458983986056744,-25905.000801682472,71.45922746781116,199.668454096073,12.64218009478673,4220,2304,932,,,,,,,
167,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.35,open,150,0,,,0.6,,,,,,175045.99968469143,1.9440956343156606,-18870.00096425414,71.55172413793103,188.62715483264162,11.426217933631442,4249,2247,928,,,,,,,
245,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.2,open,150,0,,,0.6,,,,,,177862.9998138845,1.9430721597479195,-18950.000996366143,71.4898177920686,190.63558393771115,11.46295863519514,4279,2252,933,,,,,,,
182,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,0.3,,,,,,159825.9995648861,1.9427306655335308,-17035.00157237053,72.95258620689656,172.22629263457554,10.01422137947381,4219,2277,928,,,,,,,
119,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.35,open,150,0,,,0.6,,,,,,175116.99962210655,1.9427245101160706,-18820.00096678734,71.62891046386191,188.90722720831343,11.421200750469044,4264,2225,927,,,,,,,
71,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.35,open,150,0,,,0.6,,,,,,174889.99961689115,1.9421147018676568,-18820.00096678734,71.56756756756756,189.07026985609855,11.327392120075046,4264,2211,925,,,,,,,
377,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.6,open,True,False,0.6,open,150,0,,,0.6,,,,,,174888.99966435134,1.9419524747844743,-19770.000975579023,71.8849840255591,186.25026588322828,11.66031443544545,4198,2375,939,,,,,,,
231,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.4,,,,,,164405.9999693036,1.9414071146052192,-17080.00157535076,71.78111587982833,176.40128752071203,10.687203791469194,4220,2304,932,,,,,,,
329,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.6,open,150,0,,,0.6,,,,,,173905.9996727705,1.9403881811757868,-19715.000976920128,71.84154175588866,186.19486046335172,11.565030967127203,4198,2340,934,,,,,,,
215,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.35,open,150,0,,,0.6,,,,,,174516.9996778369,1.938413893865097,-18870.00096425414,71.55172413793103,188.057111721807,11.476573592049219,4226,2270,928,,,,,,,
38,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.6,open,150,0,,,0.3,,,,,,160044.999531582,1.9380304020608108,-17035.00157237053,73.08108108108108,173.02162111522378,9.906213364595546,4265,2210,925,,,,,,,
155,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.25,open,150,0,,,0.6,,,,,,175720.99970421195,1.9370329404998845,-19375.001014322042,71.55172413793103,189.35452554333185,11.411516853932584,4272,2224,928,,,,,,,
87,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,0.4,,,,,,163378.99991722405,1.9366204240662146,-17035.00157237053,71.89189189189189,176.62594585645843,10.566706021251477,4235,2240,925,,,,,,,
179,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.5,open,150,0,,,0.6,,,,,,173815.99960541725,1.9365494720011196,-19335.000970214605,71.65948275862068,187.30172371273412,11.44578313253012,4233,2263,928,,,,,,,
59,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.25,open,150,0,,,0.6,,,,,,175564.99963641167,1.9351162059815818,-19325.00101685524,71.56756756756756,189.79999960693152,11.313272684861209,4287,2188,925,,,,,,,
248,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.25,open,150,0,,,0.3,,,,,,163141.99969534576,1.9351041209770754,-17080.00157535076,72.66881028938906,174.85744876242848,10.021097046413502,4266,2265,933,,,,,,,
