combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,2500,168249.99925523996,3.588523793636305,-11440.000380575657,65.77896138482025,224.03461951430089,20.53396701146212,3577,1680,751,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1500,165604.99948054552,3.5404070972668555,-11440.000380575657,65.5126498002663,220.5126491085826,20.575901593514118,3577,1680,751,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,162254.99927259982,3.4771711578818363,-11440.000380575657,65.11318242343542,216.05192979041254,20.631814369583452,3577,1680,751,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,750,152649.9990748614,3.23615489334528,-11440.000380575657,64.4474034620506,203.26231567891,20.799552697791444,3577,1680,751,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,600,147039.99933041632,3.116411312680111,-12170.000392496586,63.51531291611185,195.7922760724585,20.96729102599944,3577,1680,751,,,,,,,
