label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,placed,total_stops,stop_rate,call_only,put_stops,call_stops
disabled,965,586,346,60.725388601036265,112243.99877244234,116.31502463465527,944.1876770837517,1.955589781943439,14755.000437498093,1.9865391622382946,4411,1809,41.01110859215598,1641,1081,728
0.20%,965,625,307,64.76683937823834,88987.99982647598,92.21554386163314,834.3575163293444,1.7544953425659169,11839.00043578446,1.9628614070231485,4411,1304,29.562457492632056,2587,698,606
0.30%,965,612,320,63.41968911917098,98674.99984145164,102.25388584606388,852.7828016165039,1.9034508108689567,12820.0003618747,2.0099827227649145,4411,1396,31.64815234640671,2399,772,624
0.40%,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,2243,838,648
0.50%,965,592,340,61.34715025906736,106506.9994083494,110.36994757341907,878.2401798700861,1.9949765919684945,11460.000121444464,2.426983114638564,4411,1557,35.29811834051236,2101,888,669
0.60%,965,590,342,61.13989637305699,111190.99935336411,115.22383352680218,889.5118415497816,2.0563207438921802,12115.000160709023,2.39673179228871,4411,1616,36.63568351847653,1991,931,685
0.80%,965,585,347,60.62176165803109,106844.99915517867,110.72020637842348,918.3681088371587,1.9138608693063746,11950.000243037939,2.3348528401594053,4411,1700,38.54001360235774,1847,996,704
1.00%,965,584,348,60.51813471502591,111903.99895431101,115.96269321690261,926.53138685189,1.986819563591831,11620.000331699848,2.5148535160484444,4411,1740,39.44683745182498,1763,1027,713
