combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,350,135489.99954484403,2.92389449146656,-11875.000325739384,62.365591397849464,182.11021444199466,20.92138630600169,3549,1659,744,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,300,132999.99937467277,2.872160270444602,-12320.000359117985,61.424731182795696,178.76344001972146,21.118624964778814,3549,1659,744,,,,,,,
4,50,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,350,122064.99898225069,2.864286170142497,-11905.000363588333,62.365591397849464,164.06585884711114,22.879684418145956,3549,1659,744,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,131569.9993237108,2.842250611502942,-12320.000359117985,61.424731182795696,176.8413969404715,21.21724429416737,3549,1659,744,,,,,,,
3,50,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,300,119574.99881207943,2.80859297281627,-12350.000396966934,61.29032258064516,160.71908442483794,23.076923076923077,3549,1659,744,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,200,128819.99940305948,2.8011063528213884,-12320.000359117985,61.29032258064516,173.14516048798316,21.499013806706113,3549,1659,744,,,,,,,
2,50,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,118144.99876111746,2.776930265887817,-12350.000396966934,61.29032258064516,158.79704134558799,23.175542406311635,3549,1659,744,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,126049.9992954731,2.7569818407889675,-12170.000335276127,60.3494623655914,169.42204206380794,21.851225697379544,3549,1659,744,,,,,,,
1,50,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,200,115394.99884046614,2.7321880443838036,-12350.000396966934,61.29032258064516,155.10080489309965,23.45731191885038,3549,1659,744,,,,,,,
0,50,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,112624.99873287976,2.6849933112021978,-12200.000373125076,60.752688172043015,151.3776864689244,23.809523809523807,3549,1659,744,,,,,,,
14,150,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,350,130809.99862514436,2.5890981383661766,-14290.000503361225,63.97849462365591,175.81989062519403,19.681600450831223,3549,1659,744,,,,,,,
13,150,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,300,128319.9984549731,2.5412641174027835,-14735.000536739826,63.03763440860215,172.47311620292083,19.87883910960834,3549,1659,744,,,,,,,
12,150,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,126889.99840401113,2.51346591590585,-14735.000536739826,63.03763440860215,170.55107312367088,19.9774584389969,3549,1659,744,,,,,,,
24,300,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,350,147219.999756217,2.487137139229926,-18525.000195801258,66.93548387096774,197.8763437583562,16.990701606086223,3549,1659,744,,,,,,,
11,150,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,200,124139.99848335981,2.473238086456678,-14735.000536739826,62.76881720430107,166.85483667118254,20.259227951535642,3549,1659,744,,,,,,,
19,200,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,350,133939.99922960997,2.470633496330021,-16419.99999575317,64.51612903225806,180.02688068495962,18.653141730064807,3549,1659,744,,,,,,,
23,300,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,300,144729.99958604574,2.4463895857973523,-18970.00022917986,66.12903225806451,194.529569336083,17.18794026486334,3549,1659,744,,,,,,,
10,150,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,121369.99837577343,2.4300279448255067,-14585.000512897968,61.82795698924731,163.13171824700729,20.611439842209073,3549,1659,744,,,,,,,
18,200,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,300,131449.9990594387,2.426523896497089,-16455.000011846423,63.575268817204304,176.68010626268642,18.850380388841927,3549,1659,744,,,,,,,
22,300,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,143299.99953508377,2.422538265570559,-18970.00022917986,66.26344086021506,192.607526256833,17.2865595942519,3549,1659,744,,,,,,,
17,200,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,130019.99900847673,2.400040181197246,-16800.000009462237,63.575268817204304,174.75806318343646,18.94899971823049,3549,1659,744,,,,,,,
21,300,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,200,140549.99961443245,2.3870083573223657,-18970.00022917986,66.12903225806451,188.9112898043447,17.568329106790646,3549,1659,744,,,,,,,
16,200,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,200,127269.99908782542,2.3612452195693936,-16665.00007107854,63.306451612903224,171.06182673094816,19.230769230769234,3549,1659,744,,,,,,,
