combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
112,75,3.0,1.25,True,True,10,current,,145210.00138178468,3.7209655807921522,-11494.999869167805,55.45927209705373,251.66378055768575,27.745383867832846,2058,827,577,,,,,,,
52,50,3.0,1.25,True,True,10,current,,139090.0012421608,3.7171993142120474,-11659.999941587448,54.93934142114385,241.05719452714177,29.20310981535471,2058,827,577,,,,,,,
110,75,3.0,1.25,True,True,5,current,,144792.50138297677,3.708655789284734,-11494.999869167805,55.45927209705373,250.94021036911053,27.793974732750243,2058,827,577,,,,,,,
50,50,3.0,1.25,True,True,5,current,,138672.5012433529,3.7043977730536817,-11659.999941587448,54.93934142114385,240.33362433856652,29.25170068027211,2058,827,577,,,,,,,
113,75,3.0,1.25,False,True,10,current,,136465.00148445368,3.7001021805859455,-11057.49989181757,43.154246100519934,236.50780153284867,28.843490304709142,1444,1441,577,,,,,,,
53,50,3.0,1.25,False,True,10,current,,133140.00158935785,3.694059352349511,-11222.499964237213,42.46100519930676,230.74523672332384,29.81301939058172,1444,1441,577,,,,,,,
111,75,3.0,1.25,False,True,5,current,,135672.50148564577,3.675257055226913,-11057.49989181757,43.154246100519934,235.1343179993861,28.912742382271468,1444,1441,577,,,,,,,
51,50,3.0,1.25,False,True,5,current,,132347.50159054995,3.6685912993304033,-11222.499964237213,42.46100519930676,229.37175318986127,29.882271468144044,1444,1441,577,,,,,,,
116,75,3.0,1.25,True,True,50,current,,144770.0013925135,3.6584383273343972,-12269.99993622303,56.1525129982669,250.90121558494542,27.30806608357629,2058,827,577,,,,,,,
56,50,3.0,1.25,True,True,50,current,,138650.00125288963,3.651132333888678,-12435.000008642673,55.45927209705373,240.29462955440144,28.765792031098155,2058,827,577,,,,,,,
117,75,3.0,1.25,False,True,50,current,,136475.00151455402,3.6490158194734055,-11832.499958872795,43.500866551126514,236.52513260754597,28.2202216066482,1444,1441,577,,,,,,,
114,75,3.0,1.25,True,True,25,current,,143115.00139176846,3.6485351229426537,-12209.999898076057,55.80589254766031,248.03293135488468,27.57531584062196,2058,827,577,,,,,,,
54,50,3.0,1.25,True,True,25,current,,136995.00125214458,3.641156924076487,-12374.9999704957,55.28596187175043,237.42634532434067,29.033041788143827,2058,827,577,,,,,,,
232,125,3.0,1.25,True,True,10,current,,154837.50135987997,3.639802816206019,-13634.999778568745,57.36568457538995,268.3492224607972,25.510204081632654,2058,827,577,,,,,,,
57,50,3.0,1.25,False,True,50,current,,133150.0016194582,3.639551016351982,-11997.500031292439,42.63431542461005,230.76256779802114,29.18975069252078,1444,1441,577,,,,,,,
115,75,3.0,1.25,False,True,25,current,,134820.00151380897,3.636769662268321,-11772.499920725822,43.500866551126514,233.6568483774852,28.601108033240997,1444,1441,577,,,,,,,
55,50,3.0,1.25,False,True,25,current,,131495.00161871314,3.6289396261405003,-11937.499993145466,42.80762564991335,227.89428356796037,29.570637119113574,1444,1441,577,,,,,,,
230,125,3.0,1.25,True,True,5,current,,154420.00136107206,3.6283755266664626,-13634.999778568745,57.36568457538995,267.62565227222194,25.55879494655005,2058,827,577,,,,,,,
172,100,3.0,1.25,True,True,10,current,,149145.00109761953,3.6232920518026175,-12027.49973654747,56.499133448873486,258.4835374308831,26.506316812439263,2058,827,577,,,,,,,
170,100,3.0,1.25,True,True,5,current,,148727.50109881163,3.6120590721408794,-12027.49973654747,56.499133448873486,257.7599672423078,26.55490767735666,2058,827,577,,,,,,,
173,100,3.0,1.25,False,True,10,current,,138845.00127986073,3.611358538124813,-11589.999759197235,43.500866551126514,240.63258454048653,27.90858725761773,1444,1441,577,,,,,,,
222,125,3.0,1.0,True,True,10,current,,149460.00144854188,3.6001584004754448,-12147.499726116657,57.712305025996535,259.02946524877274,25.34013605442177,2058,827,577,,,,,,,
233,125,3.0,1.25,False,True,10,current,,141952.50134035945,3.5883899055596578,-12997.499780356884,43.84748700173311,246.01819989663682,27.146814404432135,1444,1441,577,,,,,,,
171,100,3.0,1.25,False,True,5,current,,138052.50128105283,3.5880915644290607,-11589.999759197235,43.500866551126514,239.25910100702396,27.977839335180054,1444,1441,577,,,,,,,
42,50,3.0,1.0,True,True,10,current,,129237.5013807416,3.5841554027903513,-10755.000007152557,55.45927209705373,223.98180481930953,29.397473275024293,2058,827,577,,,,,,,
292,150,3.0,1.25,True,True,10,current,,159645.00151395798,3.5831122745409836,-14439.999772310257,57.885615251299825,276.68111180928594,24.392614188532555,2058,827,577,,,,,,,
236,125,3.0,1.25,True,True,50,current,,154397.5013706088,3.5821257540664786,-14409.99984562397,57.885615251299825,267.58665748805686,25.072886297376094,2058,827,577,,,,,,,
43,50,3.0,1.0,False,True,10,current,,123860.00173836946,3.577550076201143,-10317.500029802322,42.63431542461005,214.6620480734306,30.020775623268698,1444,1441,577,,,,,,,
220,125,3.0,1.0,True,True,5,current,,148447.5014387071,3.5748096316863105,-12147.499726116657,57.712305025996535,257.27469920053227,25.41302235179786,2058,827,577,,,,,,,
290,150,3.0,1.25,True,True,5,current,,159227.50151515007,3.572279720155398,-14439.999772310257,57.885615251299825,275.9575416207107,24.441205053449952,2058,827,577,,,,,,,
234,125,3.0,1.25,True,True,25,current,,152742.50136986375,3.5705753501484567,-14349.999807476997,57.538994800693246,264.7183732579961,25.34013605442177,2058,827,577,,,,,,,
231,125,3.0,1.25,False,True,5,current,,141160.00134155154,3.565197404741599,-12997.499780356884,43.84748700173311,244.64471636317424,27.21606648199446,1444,1441,577,,,,,,,
176,100,3.0,1.25,True,True,50,current,,148705.00110834837,3.5645301079351355,-12802.499803602695,57.19237435008665,257.72097245814274,26.068999028182706,2058,827,577,,,,,,,
223,125,3.0,1.0,False,True,10,current,,137147.50143945217,3.5642999368952606,-11509.999727904797,44.194107452339686,237.69064374255143,26.835180055401665,1444,1441,577,,,,,,,
177,100,3.0,1.25,False,True,50,current,,138855.00130996108,3.5638679885421722,-12364.99982625246,44.0207972270364,240.64991561518386,27.28531855955679,1444,1441,577,,,,,,,
174,100,3.0,1.25,True,True,25,current,,147050.0011076033,3.5537184910019937,-12742.499765455723,56.845753899480066,254.852688228082,26.336248785228378,2058,827,577,,,,,,,
40,50,3.0,1.0,True,True,5,current,,128225.00137090683,3.553604647466827,-10755.000007152557,55.45927209705373,222.22703877106903,29.47035957240039,2058,827,577,,,,,,,
102,75,3.0,1.0,True,True,10,current,,135707.5017645955,3.551327738053182,-11264.999915659428,56.1525129982669,235.19497706169065,27.648202137998055,2058,827,577,,,,,,,
163,100,3.0,1.0,False,True,10,current,,132585.00163674355,3.549557138757323,-10827.499340325594,44.194107452339686,229.7833650550148,27.631578947368425,1444,1441,577,,,,,,,
175,100,3.0,1.25,False,True,25,current,,137200.00130921602,3.549478338311376,-12304.999788105488,43.84748700173311,237.7816313851231,27.666204986149584,1444,1441,577,,,,,,,
118,75,3.0,1.25,True,True,100,current,,146095.00155076385,3.5449419060948286,-13929.9998742342,56.845753899480066,253.19757634447808,26.676384839650147,2058,827,577,,,,,,,
162,100,3.0,1.0,True,True,10,current,,142312.50144407153,3.544717704737711,-10882.499718517065,57.36568457538995,246.64211688747233,26.360544217687078,2058,827,577,,,,,,,
237,125,3.0,1.25,False,True,50,current,,141962.5013704598,3.5441323090412897,-13772.49984741211,44.54072790294627,246.03553097133414,26.523545706371195,1444,1441,577,,,,,,,
103,75,3.0,1.0,False,True,10,current,,127535.00187769532,3.541505266122543,-10827.499938309193,43.67417677642981,221.03119909479258,28.635734072022164,1444,1441,577,,,,,,,
293,150,3.0,1.25,False,True,10,current,,145147.5013665855,3.5386831290797374,-13802.499774098396,44.367417677642976,251.55546164052944,26.21191135734072,1444,1441,577,,,,,,,
41,50,3.0,1.0,False,True,5,current,,122472.5017285347,3.534724389853665,-10317.500029802322,42.63431542461005,212.25736868030276,30.12465373961219,1444,1441,577,,,,,,,
282,150,3.0,1.0,True,True,10,current,,152052.50160604715,3.532567732982736,-13537.499841451645,58.23223570190641,263.52253311273336,24.31972789115646,2058,827,577,,,,,,,
296,150,3.0,1.25,True,True,50,current,,159205.0015246868,3.5310735280204035,-15214.999839365482,58.4055459272097,275.9185468365456,23.955296404275998,2058,827,577,,,,,,,
235,125,3.0,1.25,False,True,25,current,,140307.50136971474,3.5278568939486066,-13712.499809265137,44.194107452339686,243.16724674127337,26.90443213296399,1444,1441,577,,,,,,,
221,125,3.0,1.0,False,True,5,current,,135760.0014296174,3.527162070734532,-11509.999727904797,44.194107452339686,235.28596434942358,26.93905817174515,1444,1441,577,,,,,,,
58,50,3.0,1.25,True,True,100,current,,139975.00141113997,3.522943280491167,-14094.999946653843,56.1525129982669,242.59099031393407,28.134110787172013,2058,827,577,,,,,,,
100,75,3.0,1.0,True,True,5,current,,134695.00175476074,3.5225148318259354,-11264.999915659428,56.1525129982669,233.44021101345015,27.721088435374146,2058,827,577,,,,,,,
294,150,3.0,1.25,True,True,25,current,,157550.00152394176,3.5186920057616953,-15154.99980121851,58.05892547660312,273.05026260648486,24.22254616132167,2058,827,577,,,,,,,
160,100,3.0,1.0,True,True,5,current,,141300.00143423676,3.5176864559861007,-10867.499708980322,57.36568457538995,244.88735083923183,26.433430515063165,2058,827,577,,,,,,,
291,150,3.0,1.25,False,True,5,current,,144355.0013677776,3.5164427492021915,-13802.499774098396,44.367417677642976,250.18197810706687,26.28116343490305,1444,1441,577,,,,,,,
161,100,3.0,1.0,False,True,5,current,,131197.50162690878,3.510338651566998,-10827.499340325594,44.194107452339686,227.37868566188698,27.73545706371191,1444,1441,577,,,,,,,
280,150,3.0,1.0,True,True,5,current,,151040.0015962124,3.508148714913438,-13537.499841451645,58.23223570190641,261.7677670644929,24.392614188532555,2058,827,577,,,,,,,
283,150,3.0,1.0,False,True,10,current,,138127.50146910548,3.5044703284406253,-12899.999843239784,44.54072790294627,239.3890840019159,26.038781163434905,1444,1441,577,,,,,,,
101,75,3.0,1.0,False,True,5,current,,126147.50186786056,3.5004046347850473,-10827.499938309193,43.67417677642981,218.62651970166473,28.739612188365648,1444,1441,577,,,,,,,
297,150,3.0,1.25,False,True,50,current,,145157.50139668584,3.498793460349941,-14577.499841153622,45.06065857885615,251.57279271522677,25.58864265927978,1444,1441,577,,,,,,,
228,125,3.0,1.0,True,True,100,current,,152172.50121757388,3.498049168966807,-14447.499903142452,58.05892547660312,263.73050470983344,24.24684159378037,2058,827,577,,,,,,,
352,200,3.0,1.25,True,True,10,current,,165655.001642406,3.4978795386857167,-15674.999734461308,59.44540727902946,287.09705657262737,22.740524781341108,2058,827,577,,,,,,,
119,75,3.0,1.25,False,True,100,current,,136882.50169306993,3.4896808295578343,-13492.499896883965,43.84748700173311,237.2313720850432,27.42382271468144,1444,1441,577,,,,,,,
350,200,3.0,1.25,True,True,5,current,,165237.50164359808,3.487578750851813,-15674.999734461308,59.44540727902946,286.3734863840521,22.789115646258505,2058,827,577,,,,,,,
238,125,3.0,1.25,True,True,100,current,,155722.50152885914,3.482958792517687,-16069.99978363514,58.578856152513005,269.8830182475895,24.441205053449952,2058,827,577,,,,,,,
295,150,3.0,1.25,False,True,25,current,,143502.50139594078,3.4816226447254635,-14517.499803006649,44.71403812824957,248.704508485166,25.96952908587258,1444,1441,577,,,,,,,
224,125,3.0,1.0,True,True,25,current,,148175.00129535794,3.481468993649228,-15282.499902844429,57.885615251299825,256.802428588142,25.121477162293488,2058,827,577,,,,,,,
59,50,3.0,1.25,False,True,100,current,,133557.5017979741,3.469967443067437,-13657.499969303608,42.98093587521664,231.4688072755184,28.39335180055402,1444,1441,577,,,,,,,
226,125,3.0,1.0,True,True,50,current,,149085.00124543905,3.4688287387934715,-15372.499884068966,57.538994800693246,258.37955155188746,24.829931972789115,2058,827,577,,,,,,,
281,150,3.0,1.0,False,True,5,current,,136740.00145927072,3.4682450293324063,-12899.999843239784,44.54072790294627,236.98440460878808,26.142659279778393,1444,1441,577,,,,,,,
178,100,3.0,1.25,True,True,100,current,,150030.0012665987,3.4633710858243956,-14462.499741613865,57.885615251299825,260.0173332176754,25.437317784256557,2058,827,577,,,,,,,
356,200,3.0,1.25,True,True,50,current,,165215.00165313482,3.4520143103417698,-16449.999801516533,60.13864818024264,286.33449159988703,22.303206997084548,2058,827,577,,,,,,,
48,50,3.0,1.0,True,True,100,current,,131950.0011497736,3.4505123185779065,-13157.500217556953,56.32582322357019,228.68284428037018,28.304178814382897,2058,827,577,,,,,,,
298,150,3.0,1.25,True,True,100,current,,160530.00168293715,3.4452876248585533,-16874.99977737665,59.09878682842288,278.21490759607826,23.323615160349853,2058,827,577,,,,,,,
