label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,placed,total_stops,stop_rate,e6_entries,e6_stops,e6_stop_rate
disabled,965,590,342,61.13989637305699,109249.99932810664,113.21243453689807,877.5031665354741,2.0480742989503726,12740.000165328383,2.239366807933078,4320,1577,36.50462962962963,0,0,0
0.20%,965,591,341,61.24352331606217,109285.99932952225,113.2497402378469,892.933778268889,2.0133451505859377,12395.000212565064,2.302455348972638,4450,1643,36.92134831460674,116,62,53.44827586206896
0.30%,965,591,341,61.24352331606217,109710.99934203923,113.69015475858987,890.9502955562432,2.025674456866625,12385.000210776925,2.3132756165990735,4430,1631,36.817155756207676,96,50,52.083333333333336
0.40%,965,590,342,61.13989637305699,111190.99935336411,115.22383352680218,889.5118415497816,2.0563207438921802,12115.000160709023,2.39673179228871,4411,1616,36.63568351847653,77,35,45.45454545454545
0.50%,965,590,342,61.13989637305699,110955.99935366213,114.98031021104885,885.0763976780526,2.062257951645112,11975.000177398324,2.419627369014319,4401,1612,36.62803908202682,67,31,46.26865671641791
0.60%,965,591,341,61.24352331606217,110275.99940671027,114.27564705358577,882.4847073667202,2.0556386336730363,11975.000177398324,2.404798549552934,4389,1607,36.614262930052405,55,26,47.27272727272727
0.80%,965,590,342,61.13989637305699,110369.99936766922,114.3730563395536,881.6912833643006,2.0592422958261754,12230.00017978251,2.3566647403009324,4375,1599,36.54857142857143,41,18,43.90243902439025
1.00%,965,591,341,61.24352331606217,109914.99933131039,113.90155371120248,880.0924110327406,2.054478697595521,12470.000184550881,2.3017795597776725,4363,1594,36.53449461379785,29,13,44.827586206896555
1.50%,965,590,342,61.13989637305699,109044.99938897789,112.99999936681647,881.5414760897669,2.0348666824017383,12915.000132098794,2.2048780138734823,4348,1587,36.499540018399266,14,6,42.857142857142854
