combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,160689.9994084984,3.441385811378587,-11620.000382959843,65.25759577278731,212.2721260350045,20.415852637454645,3583,1716,757,,,,,,,
1,100,2.0,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,149535.0005670637,3.2046726084757484,-13945.000031590462,64.33289299867899,197.53632835807622,20.938980217330734,3589,1710,757,,,,,,,
3,100,2.5,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,158319.99950528145,3.1208776869401156,-17905.000691711903,65.38969616908851,209.14134677051712,20.73681272676528,3583,1716,757,,,,,,,
4,100,2.75,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,163154.9990194291,3.097881221687037,-16850.0003503263,64.99339498018493,215.52840028986668,20.90427016466648,3583,1716,757,,,,,,,
5,100,3.0,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,163754.99869324267,3.0222539727560656,-14900.000082701445,64.86129458388376,216.3210022367803,21.001953670108847,3583,1716,757,,,,,,,
0,100,1.75,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,137680.0005478412,2.978993435404683,-13144.999878555536,63.67239101717305,181.87582635117727,21.681046479265238,3593,1706,757,,,,,,,
