combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
0,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
14,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75765.0018261373,2.435679254901871,-25509.999270811677,62.81352235550709,82.62268465227623,12.550100200400802,3992,2427,917,,,,,,,
7,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,65415.00158928335,2.4064142273425992,-25124.999222829938,62.21248630887185,71.64841356986128,10.212711430035878,3902,2489,913,,,,,,,
10,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,72825.00140808523,2.0309726082139505,-16021.999194219708,61.50490730643402,79.41657732615619,13.082706766917292,3990,2429,917,,,,,,,
2,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,62802.00124081969,2.0013468153997853,-16786.999271035194,62.10295728368017,68.78641975993395,11.726987745796523,3509,2882,913,,,,,,,
9,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,69052.00137925148,1.9839734526052215,-22646.99916255474,61.286804798255176,75.30207347791874,12.43705941591138,3972,2447,917,,,,,,,
17,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75465.00159732997,1.9813666176763218,-20256.999195039272,61.61395856052344,82.2955306404907,14.522872602065911,4066,2353,917,,,,,,,
15,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,67129.00186339021,1.9571231930612436,-24629.999265149236,61.832061068702295,73.2050183897385,13.138231631382316,4015,2404,917,,,,,,,
3,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,62915.00114187598,1.8982023897702804,-12216.99928496778,61.5553121577218,68.91018745002846,12.779329608938546,3580,2811,913,,,,,,,
16,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,70667.00161327422,1.897946940475146,-26536.999145045877,61.50490730643402,77.06325148666762,14.169340903480624,4051,2368,917,,,,,,,
21,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
23,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
22,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
24,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
25,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
26,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
27,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,91773.00092178583,1.859581451907876,-17338.999539852142,61.832061068702295,100.07960842070429,18.08408982322026,4186,2233,917,,,,,,,
8,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,57314.001691803336,1.8318261541612681,-23924.99922133982,61.17775354416576,62.501637613744094,11.168996188055909,3935,2484,917,,,,,,,
20,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,83072.00144697726,1.8217446387858365,-16758.999255016446,61.61395856052344,90.59105937511151,17.032834379526797,4142,2277,917,,,,,,,
19,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,78298.00159107149,1.797580420518998,-23153.999113753438,61.94111232279171,85.38495266201907,16.038882138517618,4115,2304,917,,,,,,,
13,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,78957.00138133764,1.751192619109411,-17333.999370351434,61.286804798255176,86.10360019775098,16.719473555934684,4103,2316,917,,,,,,,
18,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,73149.00159449875,1.7505598970309837,-22803.999264106154,62.05016357688113,79.7699035926922,15.41748046875,4096,2323,917,,,,,,,
6,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75492.00133387744,1.7060041529214964,-17648.99934643507,61.88389923329682,82.68565315868285,16.750566322678075,3973,2418,913,,,,,,,
11,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,65949.00165872276,1.6487541655844329,-19553.999259784818,61.286804798255176,71.9182133682909,14.464862180283088,4027,2392,917,,,,,,,
12,100,1.75,1.25,True,False,10,current,12:30,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,68983.00139735639,1.6230543238288746,-24168.999238103628,61.17775354416576,75.22682813234067,15.490873211642823,4054,2365,917,,,,,,,
5,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,65458.001182705164,1.5883106864404544,-22408.999325424433,61.5553121577218,71.69551060537258,15.482100862294226,3827,2564,913,,,,,,,
1,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,41739.00168532133,1.5694684577099014,-19389.99937914312,61.117196056955095,45.716321670669586,10.173289512996714,3347,3044,913,,,,,,,
4,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,59244.001209676266,1.5437963610149974,-15288.999493211508,61.66484118291348,64.88937700950304,14.441453566621803,3715,2676,913,,,,,,,
