combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
20,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,123684.99929048121,2.73343424582143,-12320.000359117985,60.639777468706534,172.0236429631171,21.625144843568943,3452,1581,719,,,,,,,
22,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.5,open,122999.99926425517,2.726335465933335,-12180.000375807285,60.639777468706534,171.07093082650232,21.6255442670537,3445,1588,719,,,,,,,
11,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.3,low,121374.99953441322,2.707939508380484,-12895.000372678041,60.778859527121,168.81084775300866,21.83280666475151,3481,833,719,,,,,,,
21,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,low,123019.99937079847,2.7035598951518414,-11730.00036329031,60.91794158553546,171.09874738636782,21.79778472024993,3521,1512,719,,,,,,,
18,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.3,open,122389.99927021563,2.7010843381017615,-12600.00035494566,60.778859527121,170.222530278464,21.704643784251516,3467,1566,719,,,,,,,
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.2,low,121254.999538064,2.699508486749544,-12895.000372678041,60.778859527121,168.64394928798887,21.844520940906484,3486,828,719,,,,,,,
23,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.5,low,122564.99931164086,2.6987203760990517,-11730.00036329031,60.778859527121,170.4659239383044,21.75714285714286,3500,1533,719,,,,,,,
28,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.4,open,122559.99947018921,2.697812397696195,-12060.000365674496,61.19610570236439,170.45897005589597,21.73230593607306,3504,1529,719,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.2,open,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.2,low,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.3,open,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.3,low,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
