label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,total_entries,total_stops,stop_rate,call_only_entries,call_only_stops,call_only_stop_rate
$0.50,965,590,342,61.13989637305699,81140.0011600554,84.0829027565341,806.8236218477823,1.6543574891627577,16733.99949634075,1.2662180071942752,6755,1599,23.67135455218357,2051,310,15.114578254509995
$1.00,965,602,330,62.383419689119165,83339.00115849078,86.36165923159666,814.8764252912738,1.6824009092375234,17923.99957628548,1.2141898371363657,6755,1505,22.279792746113987,2051,216,10.531448074110191
$1.50,965,607,325,62.901554404145074,86354.00096961856,89.48601136748037,822.4493146624708,1.727214511653764,16673.999636113644,1.3524334506859264,6755,1452,21.49518874907476,2051,163,7.947342759629448
$2.50,965,613,319,63.523316062176164,86973.00101149082,90.1274621880734,833.1022249721643,1.7173512020447679,15886.999810829759,1.4296041255009162,6755,1402,20.75499629903775,2051,113,5.509507557289127
$5.00,965,623,309,64.55958549222798,80541.00095024705,83.46217715051507,865.1777480757677,1.5313858807261567,12336.999809190631,1.7048284807673701,6755,1362,20.16284233900814,2051,73,3.5592393954168697
$7.50,965,632,300,65.4922279792746,84299.00093340874,87.35647765120076,883.7763323544633,1.569108654402959,14162.999718293548,1.5543199043962816,6755,1332,19.718726868985936,2051,43,2.096538274012677
$10.00,965,633,299,65.5958549222798,78591.00102877617,81.44145184329136,914.1597162666529,1.4142418933271386,17021.999776482582,1.2056894685702044,6755,1320,19.541080680977053,2051,31,1.5114578254509994
