combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,123684.99929048121,2.73343424582143,-12320.000359117985,60.639777468706534,172.0236429631171,21.625144843568943,3452,1581,719,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.45,open,123154.99928690493,2.7248064197367237,-12320.000359117985,60.639777468706534,171.2865080485465,21.637681159420293,3450,1583,719,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.35,open,123334.99928928912,2.723735313030236,-12470.000356733799,60.639777468706534,171.5368557570085,21.65172114550188,3457,1576,719,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.45,low,123449.99932549894,2.7153358985817304,-11730.00036329031,60.91794158553546,171.6968001745465,21.752136752136753,3510,1523,719,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,low,123019.99937079847,2.7035598951518414,-11730.00036329031,60.91794158553546,171.09874738636782,21.79778472024993,3521,1512,719,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.35,low,122269.99938577414,2.6791403669361844,-12540.000356137753,60.91794158553546,170.0556319690878,21.85111803000283,3533,1500,719,,,,,,,
