combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,164614.99937206507,3.3423588346400392,-11620.000382959843,66.125,205.76874921508133,19.831955188050145,3749,1851,800,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,0.2,43365.00083528459,1.1087475879940254,-14470.000021159649,48.5,54.20625104410574,23.74713396659024,3053,2547,800,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,0.1,43310.00062160194,1.0580204598092278,-15984.99972872436,50.0,54.13750077700242,23.496835443037973,3160,2440,800,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,0.3,25020.00062532723,0.664534613089983,-14510.000005215406,45.375,31.27500078165904,24.494609164420485,2968,2632,800,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,0.4,16500.000714734197,0.45317074383870776,-16129.99968752265,43.625,20.625000893417745,25.03448275862069,2900,2700,800,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,0.5,9080.000684857368,0.26195384602617783,-15879.999617859721,43.0,11.350000856071711,25.5098452883263,2844,2756,800,,,,,,,
