combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,750,0,,,0.4,,,,48855.999744966626,0.758503864912708,-29314.999988377094,64.32748538011695,57.14152016955161,15.648379052369076,4010,1975,855,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,,,,47253.999827966094,0.7245410457107717,-30957.000081956387,64.79532163742691,55.2678360561007,15.46134663341646,4010,1975,855,,,,,,,
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,2500,0,,,0.4,,,,45161.999906122684,0.6624729775390411,-36382.99989122152,65.14619883040935,52.82105252178092,15.174563591022444,4010,1975,855,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1250,0,,,0.4,,,,42012.00003539026,0.6351766628465346,-33346.99976217747,64.91228070175438,49.13684214665527,15.436408977556109,4010,1975,855,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,2000,0,,,0.4,,,,43021.99987281859,0.6347644501713712,-35452.9998896569,65.14619883040935,50.318128506220575,15.224438902743142,4010,1975,855,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,0,,,0.4,,,,38974.999757781625,0.6147771809732099,-26063.999865293503,61.28654970760235,45.584795038341085,16.783042394014963,4010,1975,855,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,500,0,,,0.4,,,,39331.99986708164,0.6118116615419155,-29298.99988362193,63.1578947368421,46.00233902582648,16.12219451371571,4010,1975,855,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1500,0,,,0.4,,,,38172.99992951751,0.567302522823493,-35332.99985270202,64.91228070175438,44.64678354329533,15.361596009975061,4010,1975,855,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,100,0,,,0.4,,,,32560.99993816018,0.5267277187917337,-26357.999913945794,59.64912280701754,38.08304086334524,18.22942643391521,4010,1975,855,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,0,0,,,0.4,,,,12398.999909102917,0.21334137233303466,-27212.000180229545,53.333333333333336,14.501754279652534,24.850374064837904,4010,1975,855,,,,,,,
