combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,stop_slippage_per_leg,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
135,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,0.3,,,,,,0.0,177068.00025741756,2.0980599978509304,-17035.00157237053,73.36787564766838,183.49015570716847,10.440941283984465,4377,2378,965,,,,,,,
39,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,,,,,,,0.0,204856.99984636903,2.0958645165144216,-27569.00087440014,71.81347150259067,212.28704647292128,13.190954773869345,4378,2377,965,,,,,,,
111,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,0.3,,,,,,0.0,176999.0002207607,2.094184312842238,-17035.00157237053,73.36787564766838,183.4186530785085,10.424228675136115,4408,2347,965,,,,,,,
15,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,,,,,,,0.0,204787.99980971217,2.0914929127435915,-27519.000876933336,71.81347150259067,212.2155438442613,13.154910410523929,4409,2346,965,,,,,,,
159,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.3,,,,,,0.0,176469.00024944544,2.09108709702138,-17080.00157535076,73.26424870466322,182.86943031030614,10.487020445669653,4353,2402,965,,,,,,,
63,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,,,,,,,0.0,204257.9998383969,2.0900001086441877,-27569.00087440014,71.81347150259067,211.66632107605898,13.252181901699586,4354,2401,965,,,,,,,
327,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,190521.0002654642,2.0816321949317187,-21284.00101670623,71.91709844559585,197.43108835799399,11.99177706715395,4378,2377,965,,,,,,,
303,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,190452.00022880733,2.076797171896474,-21234.001019239426,71.91709844559585,197.35958572933401,11.964164209571331,4409,2346,965,,,,,,,
351,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.6,,,,,,0.0,189922.00025749207,2.0754429103993663,-21284.00101670623,71.91709844559585,196.8103629611317,12.046394120349104,4354,2401,965,,,,,,,
33,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.5,open,150,0,,,,,,,,,0.0,204051.99982848763,2.0740564464753497,-27354.000863671303,71.60621761658031,211.45284956319963,13.186062400364381,4391,2364,965,,,,,,,
87,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.6,open,150,0,,,,,,,,,0.0,202532.9998512119,2.073176125777566,-27734.000870376825,71.81347150259067,209.87875632249938,13.321759259259258,4320,2435,965,,,,,,,
183,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.6,open,150,0,,,0.3,,,,,,0.0,174744.00026226044,2.0710498430204285,-17080.00157535076,73.16062176165804,181.08186555674658,10.53484602917342,4319,2436,965,,,,,,,
27,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,,,,,,,0.0,204166.9998907745,2.0706818959169393,-27109.00085771084,71.50259067357513,211.57202061220156,13.175829168559746,4402,2353,965,,,,,,,
129,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.5,open,150,0,,,0.3,,,,,,0.0,176263.00023953617,2.0703948713602807,-17035.00157237053,73.16062176165804,182.6559587974468,10.444191343963553,4390,2365,965,,,,,,,
9,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.5,open,150,0,,,,,,,,,0.0,203982.99979183078,2.069774518332654,-27304.0008662045,71.60621761658031,211.38134693453966,13.150158299412032,4422,2333,965,,,,,,,
57,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.5,open,150,0,,,,,,,,,0.0,203452.9998205155,2.068226155861159,-27354.000863671303,71.60621761658031,210.8321241663373,13.247080375543852,4367,2388,965,,,,,,,
411,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.4,open,150,0,,,,,,,,,0.0,201012.99989882112,2.06810424613655,-28839.000855326653,71.70984455958549,208.3036268381566,13.246182322998612,4322,1468,965,,,,,,,
417,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.5,open,150,0,,,,,,,,,0.0,201012.99989882112,2.06810424613655,-28839.000855326653,71.70984455958549,208.3036268381566,13.246182322998612,4322,1468,965,,,,,,,
423,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.6,open,150,0,,,,,,,,,0.0,201012.99989882112,2.06810424613655,-28839.000855326653,71.70984455958549,208.3036268381566,13.246182322998612,4322,1468,965,,,,,,,
429,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.75,open,150,0,,,,,,,,,0.0,201012.99989882112,2.06810424613655,-28839.000855326653,71.70984455958549,208.3036268381566,13.246182322998612,4322,1468,965,,,,,,,
507,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.4,open,150,0,,,0.3,,,,,,0.0,173224.00030986965,2.068100567698626,-17730.00149399042,73.26424870466322,179.50673607240378,10.460541541309883,4321,1469,965,,,,,,,
513,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.5,open,150,0,,,0.3,,,,,,0.0,173224.00030986965,2.068100567698626,-17730.00149399042,73.26424870466322,179.50673607240378,10.460541541309883,4321,1469,965,,,,,,,
