label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,placed,skipped_days,total_stops,stop_rate
>=22,965,494,242,51.19170984455958,70953.99988347292,73.52746101914292,695.5573052719349,1.678096469546179,9885.000556409359,1.874448066147048,3208,229,993,30.953865336658353
>=24,965,520,276,53.8860103626943,82125.99978110194,85.10466298559787,753.258799142534,1.7935331702318353,11120.000602304935,1.9286307473693205,3582,169,1149,32.077051926298154
>=25,965,531,292,55.02590673575129,78510.99993652105,81.35854915701664,768.0989425710535,1.681459063421982,11235.000542551279,1.824864565864316,3722,142,1228,32.993014508328855
>=26,965,545,298,56.476683937823836,82852.9998805672,85.85803096431833,783.4830518541501,1.7396087697240177,10320.000558570027,2.0965332007701174,3841,122,1272,33.116375943764645
>=27,965,555,309,57.51295336787565,87615.99962888658,90.7937819988462,802.9565686336391,1.7949994593261462,10700.000587776303,2.1383207296126154,3970,101,1321,33.27455919395466
>=28,965,565,313,58.549222797927456,93225.99955169857,96.60725342144929,814.4827663702689,1.8829036877272747,10700.000587776303,2.2752361238201253,4066,87,1351,33.226758484997546
>=30,965,581,319,60.207253886010356,100781.99961584806,104.43730530139696,823.4336454800437,2.0133872761354437,10700.000587776303,2.4596448121711307,4192,65,1402,33.44465648854962
>=35,965,597,329,61.86528497409326,103526.99968603253,107.2818649596192,842.0271844754275,2.0225556141434775,10700.000587776303,2.5266381761426158,4371,39,1470,33.630748112560056
disabled,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,33,1486,33.688506007708
