combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
2,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
4,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
3,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
1,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
6,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
0,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
5,100,1.75,1.25,True,False,10,current,12:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,53525.00144742429,2.535239347144801,-20614.99904476106,62.541073384446875,58.62541231919419,8.830807299721622,3233,3158,913,,,,,,,
14,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75095.0018184632,2.4207802323573144,-25509.999270811677,62.760131434830235,82.25082345943396,12.569060773480665,3982,2409,913,,,,,,,
15,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75095.0018184632,2.4207802323573144,-25509.999270811677,62.760131434830235,82.25082345943396,12.569060773480665,3982,2409,913,,,,,,,
16,100,1.75,1.25,True,False,10,current,13:00,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.4,,,,,75095.0018184632,2.4207802323573144,-25509.999270811677,62.760131434830235,82.25082345943396,12.569060773480665,3982,2409,913,,,,,,,
