combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
10,75,3.0,1.5,True,True,10,current,,159995.00181049109,4.029543330708285,-8695.00002861023,56.14334470989761,273.0290133284831,27.668741024413595,2089,841,586,,,,,,,
8,75,3.0,1.5,True,True,5,current,,159207.50184088945,4.01799758580218,-8695.00002861023,56.14334470989761,271.6851567250673,27.740545715653425,2089,841,586,,,,,,,
11,75,3.0,1.5,False,True,10,current,,150177.5018106401,3.999627725405962,-8257.500051259995,42.66211604095563,256.2756003594541,28.743131868131865,1456,1474,586,,,,,,,
9,75,3.0,1.5,False,True,5,current,,149015.00184103847,3.976146679954145,-8257.500051259995,42.83276450511945,254.291812015424,28.846153846153843,1456,1474,586,,,,,,,
50,125,3.0,1.5,True,True,10,current,,171525.00134781003,3.95226718728157,-10407.49982714653,58.19112627986348,292.7047804570137,25.37099090473911,2089,841,586,,,,,,,
48,125,3.0,1.5,True,True,5,current,,170737.5013782084,3.9409944480853305,-10407.49982714653,58.36177474402731,291.36092385359797,25.44279559597894,2089,841,586,,,,,,,
51,125,3.0,1.5,False,True,10,current,,157695.0012409687,3.900969556332598,-9769.99982893467,44.027303754266214,269.10409768083395,26.95741758241758,1456,1474,586,,,,,,,
49,125,3.0,1.5,False,True,5,current,,156532.50127136707,3.8785458926266383,-9769.99982893467,44.36860068259386,267.12030933680387,27.06043956043956,1456,1474,586,,,,,,,
30,100,3.0,1.5,True,True,10,current,,161950.00153318048,3.8590115337964668,-8769.999924004078,57.16723549488054,276.3651903296595,26.51986596457635,2089,841,586,,,,,,,
28,100,3.0,1.5,True,True,5,current,,161162.50156357884,3.848375401480039,-8769.999924004078,57.16723549488054,275.02133372624377,26.59167065581618,2089,841,586,,,,,,,
31,100,3.0,1.5,False,True,10,current,,150967.50164479017,3.8457759884571203,-8927.499593347311,43.344709897610926,257.62372294332795,27.918956043956044,1456,1474,586,,,,,,,
70,150,3.0,1.5,True,True,10,current,,172392.50189960003,3.8275506364982674,-11344.999828636646,58.53242320819113,294.185156825256,24.533269506941117,2089,841,586,,,,,,,
29,100,3.0,1.5,False,True,5,current,,149805.00167518854,3.82386708750183,-8842.499555200338,43.515358361774744,255.63993459929785,28.021978021978022,1456,1474,586,,,,,,,
68,150,3.0,1.5,True,True,5,current,,171605.0019299984,3.816261288593802,-11344.999828636646,58.53242320819113,292.84130022184024,24.605074198180947,2089,841,586,,,,,,,
71,150,3.0,1.5,False,True,10,current,,157102.50166028738,3.7885643161120055,-10707.499830424786,44.19795221843004,268.0930062462242,26.407967032967033,1456,1474,586,,,,,,,
69,150,3.0,1.5,False,True,5,current,,155940.00169068575,3.766406073253338,-10707.499830424786,44.36860068259386,266.10921790219413,26.51098901098901,1456,1474,586,,,,,,,
6,75,3.0,1.25,True,True,10,current,,148067.501488626,3.748544353575004,-11494.999869167805,55.460750853242324,252.67491721608533,27.740545715653425,2089,841,586,,,,,,,
