label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,total_entries,total_stops,stop_rate,call_only_entries,call_only_stops,call_only_stop_rate
$1.50,965,607,325,62.901554404145074,86354.00096961856,89.48601136748037,822.4493146624708,1.727214511653764,16673.999636113644,1.3524334506859264,6755,1452,21.49518874907476,2051,163,7.947342759629448
$1.75,965,610,322,63.212435233160626,87253.00115253031,90.4176177746428,825.1333596699383,1.7395190338659172,16318.999533593655,1.3962399859320531,6755,1435,21.243523316062177,2051,146,7.1184787908337395
$2.00,965,612,320,63.41968911917098,87041.00110022724,90.19792860127174,828.3193725833369,1.7286179395359882,16796.999780207872,1.3532105914714243,6755,1422,21.051073279052552,2051,133,6.484641638225256
$2.25,965,610,322,63.212435233160626,86211.00104434788,89.33782491642268,830.5610264167551,1.7075133064214958,16326.99978095293,1.3788897030060798,6755,1413,20.91783863804589,2051,124,6.0458313018039975
$2.50,965,613,319,63.523316062176164,86973.00101149082,90.1274621880734,833.1022249721643,1.7173512020447679,15886.999810829759,1.4296041255009162,6755,1402,20.75499629903775,2051,113,5.509507557289127
