combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
20,75,2.0,1.5,True,True,10,current,,108515.00030748546,2.3965056809889966,-16255.000148564577,61.83844011142061,151.13509792128895,25.407013149655604,3194,396,718,,,,,,,
56,100,2.25,1.5,True,True,10,current,,113584.9988796562,2.386739514829627,-16410.00044196844,61.83844011142061,158.19637726971615,23.635508155583437,3188,402,718,,,,,,,
85,125,2.25,1.25,True,True,10,current,,110874.99905280769,2.3765648830495727,-16675.000378787518,61.28133704735376,154.4220042518213,22.631744040150565,3188,402,718,,,,,,,
117,150,2.25,1.75,True,True,10,current,,123634.99985724688,2.3753702604335385,-15489.999798163772,62.67409470752089,172.19359311594272,22.55332496863237,3188,402,718,,,,,,,
116,150,2.25,1.5,True,True,10,current,,121349.99885827303,2.3660165368144694,-17430.00019878149,62.67409470752089,169.01114047113236,22.223964868255962,3188,402,718,,,,,,,
21,75,2.0,1.75,True,True,10,current,,108365.00148370862,2.3343625682375437,-15444.999022334814,61.83844011142061,150.9261859104577,25.594865372573576,3194,396,718,,,,,,,
14,75,1.75,1.5,True,True,10,current,,102070.0011382252,2.332346073796366,-17929.999738261104,61.28133704735376,142.15877595853092,26.07879924953096,3198,392,718,,,,,,,
43,100,1.75,1.25,True,True,10,current,,103780.00074885786,2.3227674855861826,-15394.999860674143,60.16713091922006,144.54039101512237,24.624765478424017,3198,392,718,,,,,,,
58,100,2.25,2.0,True,True,10,current,,113905.00117473304,2.312958634027232,-16030.000019669533,61.97771587743732,158.6420629174555,24.106022584692596,3188,402,718,,,,,,,
112,150,2.0,2.0,True,True,10,current,,116145.00213369727,2.3120057220734274,-19149.99952085316,61.42061281337048,161.76184141183464,23.99812147777082,3194,396,718,,,,,,,
115,150,2.25,1.25,True,True,10,current,,112624.99862961471,2.310573949004944,-16220.00045210123,61.55988857938719,156.8593295677085,21.925972396486827,3188,402,718,,,,,,,
50,100,2.0,1.5,True,True,10,current,,109145.00076852739,2.3027528142521665,-16135.000034719706,61.55988857938719,152.0125358893139,24.49906073888541,3194,396,718,,,,,,,
22,75,2.0,2.0,True,True,10,current,,107290.00277936459,2.301187610052171,-15924.999939575791,61.00278551532033,149.4289732303128,25.907952410770196,3194,396,718,,,,,,,
80,125,2.0,1.5,True,True,10,current,,111450.00090703368,2.292425046042826,-16049.999998360872,62.25626740947076,155.22284248890486,23.763306199123356,3194,396,718,,,,,,,
111,150,2.0,1.75,True,True,10,current,,115890.00080250204,2.291559015228376,-16889.999757111073,61.83844011142061,161.40668635445965,23.591108328115215,3194,396,718,,,,,,,
147,200,2.25,1.75,True,True,10,current,,126454.9996984005,2.291008872003647,-17754.999920353293,63.370473537604454,176.12116949637954,21.596612296110415,3188,402,718,,,,,,,
51,100,2.0,1.75,True,True,10,current,,109430.00155843794,2.2868053111493887,-15139.999097660184,61.83844011142061,152.40947292261552,24.81214777708203,3194,396,718,,,,,,,
37,100,1.5,1.25,True,True,10,current,,98665.00052183867,2.2834830605280025,-14679.999446496367,61.6991643454039,137.41643526718477,25.287713841368586,3215,375,718,,,,,,,
88,125,2.25,2.0,True,True,10,current,,116060.00145480037,2.277011328923873,-17124.99989449978,62.25626740947076,161.64345606518157,23.52572145545797,3188,402,718,,,,,,,
48,100,2.0,1.0,True,True,10,current,,97895.00123672187,2.2743217693137714,-16339.999831318855,60.863509749303624,136.34401286451515,23.622417031934877,3194,396,718,,,,,,,
84,125,2.25,1.0,True,True,10,current,,102414.99967359006,2.260390349437778,-14685.00024780631,63.091922005571035,142.63927531140678,21.988707653701383,3188,402,718,,,,,,,
118,150,2.25,2.0,True,True,10,current,,118330.00089891255,2.256573126356825,-18424.99987602234,61.83844011142061,164.80501517954394,22.976787954830616,3188,402,718,,,,,,,
146,200,2.25,1.5,True,True,10,current,,122339.99943055212,2.2414014417218096,-18735.000160634518,62.39554317548747,170.3899713517439,21.251568381430364,3188,402,718,,,,,,,
139,200,2.0,1.25,True,True,10,current,,116240.00033035874,2.2343766792101243,-19494.99984703958,62.53481894150418,161.89415087793697,21.289918597370068,3194,396,718,,,,,,,
18,75,2.0,1.0,True,True,10,current,,91765.00129684806,2.2300586747518287,-13179.999830722809,60.306406685236766,127.80640849143184,24.765184721352536,3194,396,718,,,,,,,
81,125,2.0,1.75,True,True,10,current,,109790.0011922419,2.229282133840163,-16699.999078437686,62.116991643454035,152.91086517025335,24.232936756418283,3194,396,718,,,,,,,
73,125,1.75,1.25,True,True,10,current,,102820.00083945692,2.2274477689936214,-17754.999558627605,61.00278551532033,143.20334378754444,23.889931207004377,3198,392,718,,,,,,,
78,125,2.0,1.0,True,True,10,current,,98965.00126816332,2.2196960480015098,-18585.000039339066,61.28133704735376,137.83426360468428,22.80839073262367,3194,396,718,,,,,,,
67,125,1.5,1.25,True,True,10,current,,99160.00027261674,2.2168892401467164,-16274.999434873462,61.42061281337048,138.10584996186176,24.447900466562984,3215,375,718,,,,,,,
82,125,2.0,2.0,True,True,10,current,,108890.0023227185,2.21165421420799,-19264.99982006848,61.28133704735376,151.65738485058287,24.592986850344396,3194,396,718,,,,,,,
52,100,2.0,2.0,True,True,10,current,,106070.00233203173,2.2085085159565905,-18069.999940767884,60.863509749303624,147.72980826188262,25.2035065748278,3194,396,718,,,,,,,
140,200,2.0,1.5,True,True,10,current,,117765.00034324825,2.205734917975074,-20224.999695643783,63.231197771587745,164.0181063276438,21.9630557294928,3194,396,718,,,,,,,
15,75,1.75,1.75,True,True,10,current,,98260.00144056976,2.199979685816067,-18264.999159425497,61.14206128133704,136.85236969438685,26.547842401500937,3198,392,718,,,,,,,
110,150,2.0,1.5,True,True,10,current,,111975.0005928427,2.198937577434368,-19264.999776035547,63.091922005571035,155.95403982290068,23.105823418910457,3194,396,718,,,,,,,
109,150,2.0,1.25,True,True,10,current,,108710.00082105398,2.1975576066263844,-15894.99983549118,61.28133704735376,151.40668638029803,22.49530369442705,3194,396,718,,,,,,,
44,100,1.75,1.5,True,True,10,current,,101075.00098764896,2.1953326225428462,-17804.999767243862,61.14206128133704,140.77298187694842,25.265791119449656,3198,392,718,,,,,,,
145,200,2.25,1.25,True,True,10,current,,115089.99912135303,2.195069708912778,-18704.99989517033,62.53481894150418,160.2924778848928,20.781053952321205,3188,402,718,,,,,,,
16,75,1.75,2.0,True,True,10,current,,97255.00237636268,2.1912064809105485,-19419.99946139753,60.16713091922006,135.45264954925165,27.03252032520325,3198,392,718,,,,,,,
42,100,1.75,1.0,True,True,10,current,,91985.00157929957,2.1894859375149127,-15744.999625012279,61.55988857938719,128.11281557005512,24.233896185115697,3198,392,718,,,,,,,
54,100,2.25,1.0,True,True,10,current,,94754.99998249114,2.1800886758995013,-14020.000284165144,61.83844011142061,131.97075206475088,22.976787954830616,3188,402,718,,,,,,,
133,200,1.75,1.25,True,True,10,current,,110530.00045455992,2.176572926691947,-17964.999730288982,63.231197771587745,153.9415048113648,21.88868042526579,3198,392,718,,,,,,,
7,75,1.5,1.25,True,True,10,current,,90610.00102065504,2.17644844222615,-14159.99935746193,60.44568245125348,126.19777300926886,26.391912908242617,3215,375,718,,,,,,,
148,200,2.25,2.0,True,True,10,current,,120160.00058099627,2.1717164439086427,-20125.000021457672,62.67409470752089,167.35376125486945,21.988707653701383,3188,402,718,,,,,,,
113,150,2.0,2.25,True,True,10,current,,109895.00144511461,2.1549761777067684,-20814.999844282866,61.97771587743732,153.0571050767613,24.279899812147775,3194,396,718,,,,,,,
108,150,2.0,1.0,True,True,10,current,,100935.00126361847,2.153933545574689,-17944.999727234244,62.116991643454035,140.57799618888367,21.947401377582967,3194,396,718,,,,,,,
12,75,1.75,1.0,True,True,10,current,,85840.0023290515,2.149651381860213,-16339.999587759376,60.58495821727019,119.55432079255083,25.437773608505314,3198,392,718,,,,,,,
141,200,2.0,1.75,True,True,10,current,,115390.00109747052,2.142011092706883,-18709.999552071095,62.116991643454035,160.71030793519571,22.557921102066373,3194,396,718,,,,,,,
45,100,1.75,1.75,True,True,10,current,,98835.00165581703,2.1410218860369357,-18409.999073296785,61.28133704735376,137.65320564877024,25.82864290181363,3198,392,718,,,,,,,
103,150,1.75,1.25,True,True,10,current,,103980.00058479607,2.1339686998483356,-18004.99955445528,61.6991643454039,144.8189423186575,23.108192620387744,3198,392,718,,,,,,,
76,125,1.75,2.0,True,True,10,current,,100455.00235848129,2.1330282788946664,-20119.99923594296,61.14206128133704,139.90947403688202,25.547217010631645,3198,392,718,,,,,,,
