combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,100,0,,,0.4,,,,93992.99990977347,1.9701668494283,-13060.000424310565,60.793465577596265,109.67677935796205,18.188604130380693,4019,1980,857,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,250,0,,,0.4,,,,96708.99973282218,1.9614359480566386,-12630.000473409891,61.96032672112018,112.84597401729543,16.745459069420253,4019,1980,857,,,,,,,
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,750,0,,,0.4,,,,91829.99974057078,1.7502185463077389,-12182.000250637531,64.99416569428237,107.15285850708376,15.613336650908186,4019,1980,857,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,500,0,,,0.4,,,,88392.99985672534,1.720748210274802,-11895.000175759196,63.827304550758456,103.14235689232828,16.08609106742971,4019,1980,857,,,,,,,
0,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,0,0,,,0.4,,,,75650.99988049269,1.6332498719353943,-19019.000258237123,54.60910151691949,88.27421222927968,24.794725055984077,4019,1980,857,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,,,,85217.99982528389,1.5650157019066355,-15809.000087320805,65.46091015169195,99.43757272495202,15.426723065439162,4019,1980,857,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1250,0,,,0.4,,,,76722.00004827976,1.3594459357166373,-19698.999767541885,65.57759626604434,89.52392070977803,15.401841254043294,4019,1980,857,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1500,0,,,0.4,,,,71216.99994583428,1.218907816663535,-22362.999819248915,65.57759626604434,83.10034999513918,15.327195819855685,4019,1980,857,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,2000,0,,,0.4,,,,73010.99988012016,1.2066345852351608,-24351.999966546893,65.81096849474912,85.19369880994184,15.190345857178404,4019,1980,857,,,,,,,
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,2500,0,,,0.4,,,,73691.99991573393,1.1891018879443145,-27223.999892115593,65.81096849474912,85.98833129023797,15.140582234386663,4019,1980,857,,,,,,,
